StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q8,Q10,Q11_1,Q2,Q3,Q4,Q4_2_TEXT,Q1_2,Q1_3,Q1_4,Q1_7,Q9,Q9_7_TEXT,Q7
2023-04-17 17:33:53,2023-04-17 17:34:46,IP Address,104.38.61.154,100,52,True,2023-04-17 17:34:47,R_2wNAOKhlW3Ng9nn,,,,,40.7957,-77.8618,anonymous,EN,Market Pollock,Yes,5,Yes,,Not right now,,4,1,2,3,,,Yes
2023-04-17 17:34:14,2023-04-17 17:35:24,IP Address,192.112.253.27,100,69,True,2023-04-17 17:35:24,R_2qCyn0donxH3OtW,,,,,40.8103,-77.888,anonymous,EN,Market Pollock,Yes,5,Yes,,Not right now,,1,4,2,3,"Halal,Kosher,Vegetarian,Vegan,High Protein,Low Sugar",,No
2023-04-17 17:35:41,2023-04-17 17:36:20,IP Address,174.251.208.133,100,38,True,2023-04-17 17:36:20,R_3r0o3k9I061nQFj,,,,,40.4064,-79.9856,anonymous,EN,Market Pollock,Yes,5,Yes,,Not right now,,4,1,2,3,High Protein,,I didn't know you had sales
2023-04-17 17:24:36,2023-04-17 17:36:52,IP Address,104.38.17.205,100,735,True,2023-04-17 17:36:52,R_2TpGqt6kjbefPVf,,,,,40.7957,-77.8618,anonymous,EN,Market Pollock,Yes,3,No,Madeleine sponge 'cookies',,,,,,,"Low Sugar,Other",Fibers,Yes
2023-04-17 17:37:26,2023-04-17 17:38:02,IP Address,174.203.137.100,100,35,True,2023-04-17 17:38:02,R_3k1Aiat4Y2jdE9b,,,,,40.4467,-79.6842,anonymous,EN,Market Pollock,Yes,5,Yes,,Not right now,,4,1,3,2,"High Protein,Low Sugar",,I didn't know you had sales
2023-04-17 17:37:44,2023-04-17 17:38:19,IP Address,104.38.48.75,100,35,True,2023-04-17 17:38:20,R_OfLjwzP2JYVqhvX,,,,,40.7957,-77.8618,anonymous,EN,Market Pollock,Yes,5,Yes,,Not right now,,1,3,2,4,,,Yes
2023-04-17 17:39:36,2023-04-17 17:40:09,IP Address,104.38.59.123,100,33,True,2023-04-17 17:40:10,R_27a1YTR3H32uxLE,,,,,40.7957,-77.8618,anonymous,EN,Market Pollock,Yes,5,Yes,,Not right now,,,,,,High Protein,,Yes
2023-04-17 17:39:22,2023-04-17 17:40:24,IP Address,104.38.83.86,100,62,True,2023-04-17 17:40:24,R_BVpufajx8UVF0Qx,,,,,40.7957,-77.8618,anonymous,EN,Market Pollock,Yes,5,Yes,,Yes,"Queso Chips . ",4,1,3,2,"Vegan,High Protein,Low Sugar",,No
2023-04-17 17:40:44,2023-04-17 17:41:10,IP Address,104.38.18.175,100,26,True,2023-04-17 17:41:10,R_1QKRPvcJaBWTLw8,,,,,40.7957,-77.8618,anonymous,EN,Market Pollock,Yes,3,Yes,,Not right now,,3,1,2,4,High Protein,,No
2023-04-17 17:45:09,2023-04-17 17:45:50,IP Address,104.38.75.105,100,40,True,2023-04-17 17:45:50,R_1lbmNIWVN6NXlV7,,,,,40.7957,-77.8618,anonymous,EN,Market Pollock,No,5,Yes,,Not right now,,4,2,1,3,,,I didn't know you had sales
2023-04-17 17:46:25,2023-04-17 17:46:43,IP Address,104.38.92.93,100,18,True,2023-04-17 17:46:44,R_2V7KnuLFPYInNIR,,,,,40.7957,-77.8618,anonymous,EN,Market Pollock,Yes,5,Yes,,Not right now,,2,1,3,4,,,Yes
2023-04-17 17:47:23,2023-04-17 17:48:09,IP Address,104.38.66.41,100,46,True,2023-04-17 17:48:09,R_2fGP6PDzja8lraZ,,,,,40.7957,-77.8618,anonymous,EN,Market Pollock,No,4,Yes,,Yes,Bathroom wipes,4,2,1,3,,,No
2023-04-17 17:48:29,2023-04-17 17:48:59,IP Address,104.38.115.195,100,29,True,2023-04-17 17:49:00,R_12GDFCgpynsfTnv,,,,,40.7957,-77.8618,anonymous,EN,Market Pollock,Yes,5,Yes,,Not right now,,,,,,,,No
2023-04-17 17:50:03,2023-04-17 17:50:42,IP Address,104.38.13.173,100,38,True,2023-04-17 17:50:42,R_32XbB4VIXNVWqJm,,,,,40.7957,-77.8618,anonymous,EN,Market Pollock,Yes,4,Yes,,Not right now,,3,2,4,1,"High Protein,Low Sugar",,No
2023-04-17 17:53:05,2023-04-17 17:54:11,IP Address,104.38.4.248,100,65,True,2023-04-17 17:54:11,R_3I9nD0GtafqzpuO,,,,,40.7957,-77.8618,anonymous,EN,Market Pollock,Yes,5,Yes,,Not right now,,1,2,3,4,,,No
2023-04-17 17:55:23,2023-04-17 17:56:13,IP Address,104.38.91.63,100,49,True,2023-04-17 17:56:14,R_2c11kohk8fb09ox,,,,,40.7957,-77.8618,anonymous,EN,Market Pollock,Yes,4,Yes,,Not right now,,2,3,1,4,High Protein,,I didn't know you had sales
2023-04-17 17:55:18,2023-04-17 17:56:24,IP Address,104.38.37.7,100,66,True,2023-04-17 17:56:25,R_32XQqaf5rElXF0l,,,,,40.7957,-77.8618,anonymous,EN,Market Pollock,Yes,4,Yes,,Not right now,,4,2,1,3,High Protein,,I didn't know you had sales
2023-04-17 17:57:10,2023-04-17 17:57:41,IP Address,104.38.79.181,100,31,True,2023-04-17 17:57:42,R_1IoSxZS1AQOrowy,,,,,39.9934,-75.1425,anonymous,EN,Market Pollock,No,5,Yes,,Not right now,,4,1,2,3,,,I didn't know you had sales
2023-04-17 17:57:19,2023-04-17 17:58:19,IP Address,104.38.63.15,100,60,True,2023-04-17 17:58:20,R_2uDTt9Rlpr9IhEm,,,,,40.7957,-77.8618,anonymous,EN,Market Pollock,Yes,5,Yes,,Yes,Salsa and tostadas. Capri suns,4,1,2,3,,,I didn't know you had sales
2023-04-17 18:01:33,2023-04-17 18:01:56,IP Address,104.38.35.254,100,23,True,2023-04-17 18:01:56,R_Xjja7E7WyzyDzVv,,,,,40.7957,-77.8618,anonymous,EN,Market Pollock,Yes,5,Yes,,Not right now,,3,1,2,4,,,Yes
2023-04-17 18:09:30,2023-04-17 18:10:10,IP Address,104.38.3.24,100,40,True,2023-04-17 18:10:11,R_2v659U5Q9AZfhp7,,,,,40.2166,-75.2565,anonymous,EN,Market Pollock,Yes,4,Yes,,Not right now,,2,1,3,4,Other,None,No
2023-04-17 18:10:26,2023-04-17 18:11:21,IP Address,178.249.214.22,100,54,True,2023-04-17 18:11:21,R_8ibW7u0QqZ6BsNr,,,,,43.6547,-79.3623,anonymous,EN,Market Pollock,Yes,5,Yes,,Not right now,,3,1,2,4,,,No
2023-04-17 18:13:21,2023-04-17 18:14:08,IP Address,192.112.253.20,100,47,True,2023-04-17 18:14:09,R_2sRaRnMc3QTQaZ8,,,,,40.8103,-77.888,anonymous,EN,Market Pollock,Yes,5,Yes,,Not right now,,2,3,4,1,Low Sugar,,No
2023-04-17 18:13:25,2023-04-17 18:14:21,IP Address,104.38.123.87,100,55,True,2023-04-17 18:14:21,R_3D5aTFy3FIz2Nbv,,,,,40.7957,-77.8618,anonymous,EN,Market Pollock,Yes,5,Yes,,Not right now,,,,,,"Vegan,High Protein,Low Sugar",,Yes
2023-04-17 18:13:32,2023-04-17 18:14:23,IP Address,104.38.27.84,100,50,True,2023-04-17 18:14:23,R_SAAtRjd1wdJI30B,,,,,40.7957,-77.8618,anonymous,EN,Market Pollock,Yes,5,Yes,,Not right now,,4,1,2,3,,,No
2023-04-17 18:13:28,2023-04-17 18:14:25,IP Address,104.38.44.174,100,56,True,2023-04-17 18:14:25,R_12L1FJIGg4BNrNp,,,,,40.7957,-77.8618,anonymous,EN,Market Pollock,Yes,5,Yes,,Not right now,,4,1,2,3,Low Sugar,,I didn't know you had sales
2023-04-17 18:13:22,2023-04-17 18:14:44,IP Address,104.38.73.112,100,82,True,2023-04-17 18:14:45,R_1gj8pnLO7HsZRCx,,,,,40.7957,-77.8618,anonymous,EN,Market Pollock,Yes,4,Yes,,Not right now,,3,2,1,4,"High Protein,Low Sugar",,No
2023-04-17 18:15:48,2023-04-17 18:17:35,IP Address,104.38.65.81,100,107,True,2023-04-17 18:17:36,R_6x7IVCo9UR2pY5z,,,,,40.7957,-77.8618,anonymous,EN,Market Pollock,No,4,Yes,,Not right now,,4,2,1,3,High Protein,,I didn't know you had sales
2023-04-17 18:18:21,2023-04-17 18:18:58,IP Address,192.112.253.11,100,37,True,2023-04-17 18:18:59,R_3oA8O6IfUfGswpo,,,,,40.7957,-77.8618,anonymous,EN,Market Pollock,Yes,4,Yes,,Not right now,,1,3,4,2,High Protein,,No
2023-04-17 18:18:36,2023-04-17 18:19:15,IP Address,174.203.136.113,100,39,True,2023-04-17 18:19:15,R_3HtarmMEwQIImd3,,,,,40.3356,-79.6185,anonymous,EN,Market Pollock,Yes,4,Yes,,Not right now,,3,1,4,2,"High Protein,Low Sugar",,No
2023-04-17 18:18:20,2023-04-17 18:19:19,IP Address,104.38.88.16,100,59,True,2023-04-17 18:19:19,R_2CpOnqVpPM7Bm5O,,,,,40.2183,-77.0281,anonymous,EN,Market Pollock,Yes,4,Yes,,Not right now,,4,1,2,3,,,No
2023-04-17 18:18:23,2023-04-17 18:19:23,IP Address,104.38.74.166,100,59,True,2023-04-17 18:19:23,R_3p2PQukMkp1SoUg,,,,,40.7957,-77.8618,anonymous,EN,Market Pollock,Yes,4,Yes,,Yes,Shirmp chips,4,1,2,3,,,Yes
2023-04-17 18:18:46,2023-04-17 18:19:30,IP Address,104.38.95.12,100,43,True,2023-04-17 18:19:30,R_3RdMtoG9biyzFBy,,,,,40.446,-74.8275,anonymous,EN,Market Pollock,Yes,4,Yes,,Not right now,,,,,,Low Sugar,,Yes
2023-04-17 18:22:08,2023-04-17 18:22:44,IP Address,104.38.12.7,100,35,True,2023-04-17 18:22:44,R_2zq2J6hvPQ3TE0B,,,,,40.7957,-77.8618,anonymous,EN,Market Pollock,Yes,5,Yes,,Not right now,,,,,,Other,Price,No
2023-04-17 18:23:21,2023-04-17 18:24:40,IP Address,166.196.103.33,100,78,True,2023-04-17 18:24:40,R_3QXkA6noOfvHdtV,,,,,39.9195,-75.1565,anonymous,EN,Market Pollock,Yes,3,Yes,,Not right now,,4,3,2,1,High Protein,,No
2023-04-17 18:23:27,2023-04-17 18:25:13,IP Address,104.38.73.64,100,105,True,2023-04-17 18:25:13,R_OwEN8rVC7OA1I8F,,,,,40.7957,-77.8618,anonymous,EN,Market Pollock,Yes,4,Yes,,Not right now,,1,4,3,2,"Vegetarian,Low Sugar",,I didn't know you had sales
2023-04-17 18:24:40,2023-04-17 18:25:49,IP Address,104.38.77.153,100,68,True,2023-04-17 18:25:49,R_2SGDlAUPh8uf9T5,,,,,40.7957,-77.8618,anonymous,EN,Market Pollock,Yes,5,Yes,,Not right now,,1,2,3,4,High Protein,,Yes
2023-04-17 18:26:40,2023-04-17 18:27:12,IP Address,104.38.126.137,100,31,True,2023-04-17 18:27:13,R_2vkbb9etrqcpYZd,,,,,40.7957,-77.8618,anonymous,EN,Market Pollock,No,5,Yes,,Not right now,,,,,,,,I didn't know you had sales
2023-04-17 18:26:21,2023-04-17 18:27:13,IP Address,104.38.44.220,100,52,True,2023-04-17 18:27:14,R_1E4Hmtzm3042vlV,,,,,40.7957,-77.8618,anonymous,EN,Market Pollock,Yes,5,Yes,,Not right now,,4,2,3,1,High Protein,,I didn't know you had sales
2023-04-17 18:28:18,2023-04-17 18:28:54,IP Address,192.112.253.25,100,36,True,2023-04-17 18:28:54,R_2VkhmraK4eIxGbD,,,,,40.8103,-77.888,anonymous,EN,Market Pollock,Yes,3,No,Healthy snacks,,,,,,,Halal,,Yes
2023-04-17 18:28:21,2023-04-17 18:29:01,IP Address,104.38.97.91,100,40,True,2023-04-17 18:29:02,R_24dU32PIrWrh0le,,,,,40.2257,-78.831,anonymous,EN,Market Pollock,No,5,Yes,,Yes,"Chili Doritos ",3,4,1,2,"Halal,Low Sugar",,No
2023-04-17 18:29:57,2023-04-17 18:30:29,IP Address,104.38.91.138,100,32,True,2023-04-17 18:30:30,R_3m36UTSX3PMT13M,,,,,40.7957,-77.8618,anonymous,EN,Market Pollock,No,5,Yes,,Not right now,,2,1,3,4,,,No
2023-04-17 18:29:42,2023-04-17 18:30:47,IP Address,192.112.253.14,100,64,True,2023-04-17 18:30:47,R_3pfD6bOnRwOrExC,,,,,40.8103,-77.888,anonymous,EN,Market Pollock,Yes,5,Yes,,Not right now,,,,,,,,I didn't know you had sales
2023-04-17 18:31:15,2023-04-17 18:32:24,IP Address,104.38.114.60,100,69,True,2023-04-17 18:32:25,R_2rYGL6asFnMPwgE,,,,,39.9828,-75.8239,anonymous,EN,Market Pollock,Yes,4,Yes,,Not right now,,,,,,High Protein,,No
2023-04-17 18:33:20,2023-04-17 18:34:20,IP Address,174.203.135.13,100,60,True,2023-04-17 18:34:20,R_1f2dhGRlt2LgteJ,,,,,39.9544,-75.1657,anonymous,EN,Market Pollock,Yes,5,Yes,,Yes,"hot cheetos ",3,1,2,4,,,Yes
2023-04-17 18:33:36,2023-04-17 18:34:30,IP Address,174.203.136.139,100,53,True,2023-04-17 18:34:31,R_2qaQAQoHHy4Ts1P,,,,,40.3356,-79.6185,anonymous,EN,Market Pollock,Yes,5,Yes,,Not right now,,4,1,2,3,Low Sugar,,I didn't know you had sales
2023-04-17 18:37:15,2023-04-17 18:38:07,IP Address,130.203.74.192,100,51,True,2023-04-17 18:38:07,R_TinS1XttWFMhrbj,,,,,40.7957,-77.8618,anonymous,EN,Market Pollock,Yes,5,Yes,,Not right now,,1,2,3,4,,,Yes
2023-04-17 18:36:58,2023-04-17 18:38:14,IP Address,174.203.137.208,100,75,True,2023-04-17 18:38:14,R_doMXwDNUxyca34d,,,,,40.4467,-79.6842,anonymous,EN,Market Pollock,Yes,5,Yes,,Yes,Stella Doro Cookies,3,2,1,4,"High Protein,Low Sugar",,No
2023-04-17 18:37:26,2023-04-17 18:38:24,IP Address,104.28.78.142,100,57,True,2023-04-17 18:38:24,R_2CPaGRAivuvkFtJ,,,,,40.2693,-76.8957,anonymous,EN,Market Pollock,Yes,4,Yes,,Not right now,,4,1,2,3,,,Yes
2023-04-17 18:37:20,2023-04-17 18:38:28,IP Address,104.38.98.123,100,67,True,2023-04-17 18:38:29,R_2uVUKYPZEaZytNU,,,,,40.7957,-77.8618,anonymous,EN,Market Pollock,Yes,5,Yes,,Not right now,,4,1,3,2,,,No
2023-04-17 18:37:57,2023-04-17 18:38:48,IP Address,174.203.133.241,100,51,True,2023-04-17 18:38:49,R_3CDY1LlIKnEk1wc,,,,,40.3052,-79.5418,anonymous,EN,Market Pollock,Yes,3,Yes,,Yes,Coffee creamer,,,,,,,I didn't know you had sales
2023-04-17 18:39:30,2023-04-17 18:40:13,IP Address,104.38.89.208,100,42,True,2023-04-17 18:40:13,R_V2mOjALEiPoHwQx,,,,,40.7957,-77.8618,anonymous,EN,Market Pollock,Yes,5,Yes,,Not right now,,2,3,1,4,"Halal,Low Sugar",,No
2023-04-17 18:41:51,2023-04-17 18:42:20,IP Address,174.203.134.20,100,28,True,2023-04-17 18:42:21,R_3fenutkX7Rvo3mE,,,,,39.9544,-75.1657,anonymous,EN,Market Pollock,Yes,5,Yes,,Not right now,,2,1,3,4,Kosher,,Yes
2023-04-17 18:46:54,2023-04-17 18:48:07,IP Address,104.38.119.112,100,72,True,2023-04-17 18:48:07,R_2zezvDfJHOjcF5X,,,,,40.7957,-77.8618,anonymous,EN,Market Pollock,Yes,5,Yes,,Not right now,,3,2,1,4,,,I didn't know you had sales
2023-04-17 18:47:26,2023-04-17 18:48:15,IP Address,104.28.132.149,100,48,True,2023-04-17 18:48:15,R_skjlNACJYIHO1P3,,,,,40.7123,-74.0068,anonymous,EN,Market Pollock,Yes,4,Yes,,Not right now,,3,2,1,4,"High Protein,Low Sugar",,Yes
2023-04-17 18:48:29,2023-04-17 18:48:50,IP Address,192.112.253.15,100,20,True,2023-04-17 18:48:50,R_wLdgO0EqvbhJSzD,,,,,40.7957,-77.8618,anonymous,EN,Market Pollock,Yes,4,Yes,,Not right now,,,,,,Vegetarian,,Yes
2023-04-17 18:50:17,2023-04-17 18:50:58,IP Address,104.38.120.153,100,41,True,2023-04-17 18:50:59,R_1nZKfyg0N7MX4B4,,,,,40.7957,-77.8618,anonymous,EN,Market Pollock,No,5,Yes,,Not right now,,4,1,2,3,,,I didn't know you had sales
2023-04-17 18:50:20,2023-04-17 18:51:19,IP Address,192.112.253.27,100,59,True,2023-04-17 18:51:20,R_1Kvg3Fsl3kh8GJy,,,,,40.8103,-77.888,anonymous,EN,Market Pollock,Yes,5,Yes,,Not right now,,4,3,1,2,"High Protein,Low Sugar",,No
2023-04-17 18:50:33,2023-04-17 18:51:33,IP Address,174.203.131.138,100,59,True,2023-04-17 18:51:34,R_1daCXCUpXO1MWFj,,,,,40.3177,-79.7223,anonymous,EN,Market Pollock,Yes,4,Yes,,Not right now,,,,,,,,Yes
2023-04-17 18:50:48,2023-04-17 18:51:46,IP Address,174.203.133.88,100,58,True,2023-04-17 18:51:47,R_DHL7Pv7GrMmnSWR,,,,,40.3052,-79.5418,anonymous,EN,Market Pollock,Yes,3,Yes,,Not right now,,1,2,4,3,,,No
2023-04-17 18:51:20,2023-04-17 18:52:04,IP Address,104.38.0.184,100,43,True,2023-04-17 18:52:04,R_r1HOpH8k0GaTUNr,,,,,40.7957,-77.8618,anonymous,EN,Market Pollock,Yes,5,Yes,,Not right now,,,,,,,,No
2023-04-17 18:51:29,2023-04-17 18:52:16,IP Address,104.38.101.205,100,47,True,2023-04-17 18:52:16,R_28Os310ZKT5Qe7X,,,,,40.7957,-77.8618,anonymous,EN,Market Pollock,No,5,Yes,,Not right now,,,,,,High Protein,,No
2023-04-17 18:56:34,2023-04-17 18:57:34,IP Address,172.226.31.163,100,59,True,2023-04-17 18:57:35,R_27w0YX5ZZDKTvgd,,,,,40.7911,-77.8592,anonymous,EN,Market Pollock,Yes,5,Yes,,Not right now,,4,2,1,3,"Vegetarian,High Protein",,I didn't know you had sales
2023-04-17 18:57:29,2023-04-17 18:58:22,IP Address,166.196.103.94,100,52,True,2023-04-17 18:58:22,R_1BPmyjIIf5bXt3h,,,,,39.9195,-75.1565,anonymous,EN,Market Pollock,Yes,4,Yes,,Not right now,,,,,,High Protein,,No
2023-04-17 18:57:36,2023-04-17 18:58:31,IP Address,104.38.94.28,100,54,True,2023-04-17 18:58:31,R_9HK6oEHJASJ3K9z,,,,,40.7123,-74.0068,anonymous,EN,Market Pollock,No,5,Yes,,Not right now,,,,,,,,No
2023-04-17 18:58:04,2023-04-17 18:58:57,IP Address,104.38.2.71,100,52,True,2023-04-17 18:58:58,R_21hrKpKjnBCLEPN,,,,,40.7957,-77.8618,anonymous,EN,Market Pollock,Yes,4,Yes,,Yes,microwave popcorn,4,1,2,3,,,No
2023-04-17 18:59:00,2023-04-17 18:59:42,IP Address,104.38.114.123,100,41,True,2023-04-17 18:59:42,R_pGyQBvQdYPh2jcJ,,,,,39.9828,-75.8239,anonymous,EN,Market Pollock,Yes,5,Yes,,Yes,"Lettuce ",4,2,3,1,High Protein,,No
2023-04-17 19:02:30,2023-04-17 19:02:59,IP Address,104.38.79.63,100,29,True,2023-04-17 19:03:00,R_eWlZRVUtLeS2Hct,,,,,40.7957,-77.8618,anonymous,EN,Market Pollock,No,4,Yes,,Not right now,,,,,,,,No
2023-04-17 19:02:26,2023-04-17 19:03:09,IP Address,174.203.131.11,100,42,True,2023-04-17 19:03:09,R_72PSIknV3EcTxnz,,,,,40.3177,-79.7223,anonymous,EN,Louie's,Yes,5,Yes,,Not right now,,4,1,2,3,Vegan,,Yes
2023-04-17 19:02:35,2023-04-17 19:03:18,IP Address,174.203.133.14,100,43,True,2023-04-17 19:03:19,R_3pmZSvqWVsCtXtK,,,,,40.3052,-79.5418,anonymous,EN,Market Pollock,Yes,5,Yes,,Not right now,,3,1,4,2,,,No
2023-04-17 19:06:58,2023-04-17 19:08:04,IP Address,104.38.31.228,100,65,True,2023-04-17 19:08:04,R_QlwKJBhdTuJjgTT,,,,,40.7957,-77.8618,anonymous,EN,Market Pollock,Yes,4,Yes,,Yes,Sparkling ice drinks,,,,,,,No
2023-04-17 19:07:17,2023-04-17 19:08:48,IP Address,104.38.47.211,100,90,True,2023-04-17 19:08:48,R_3G2Fm7YK6bQbWG2,,,,,40.7957,-77.8618,anonymous,EN,Market Pollock,Yes,5,Yes,,Yes,zaza,,,,,High Protein,,Yes
2023-04-17 19:07:49,2023-04-17 19:08:52,IP Address,174.203.134.158,100,63,True,2023-04-17 19:08:53,R_3EhWvy12kZiYIfk,,,,,39.9544,-75.1657,anonymous,EN,Market Pollock,Yes,5,Yes,,Yes,"Reign energy drinks ",,,,,High Protein,,Yes
2023-04-17 19:07:44,2023-04-17 19:09:00,IP Address,192.112.253.29,100,75,True,2023-04-17 19:09:00,R_1M6QuHzXc3fyNk7,,,,,40.8103,-77.888,anonymous,EN,Market Pollock,Yes,5,Yes,,Yes,Individual soda cans,2,1,3,4,High Protein,,Yes
2023-04-17 19:11:28,2023-04-17 19:12:06,IP Address,192.112.253.12,100,38,True,2023-04-17 19:12:07,R_1lcTSUs5Zyc9ywg,,,,,40.7957,-77.8618,anonymous,EN,Market Pollock,Yes,5,Yes,,Not right now,,1,3,2,4,"High Protein,Low Sugar",,Yes
2023-04-17 19:11:19,2023-04-17 19:12:19,IP Address,107.123.17.95,100,60,True,2023-04-17 19:12:20,R_ANBuO91uX6vIDdL,,,,,39.9486,-75.2339,anonymous,EN,Market Pollock,No,4,Yes,,Not right now,,3,2,1,4,Low Sugar,,I didn't know you had sales
2023-04-17 19:12:54,2023-04-17 19:13:45,IP Address,174.203.129.194,100,50,True,2023-04-17 19:13:45,R_bNoRc9Vl3deifyp,,,,,40.3052,-79.5418,anonymous,EN,Market Pollock,Yes,5,Yes,,Yes,Monster Energy and Kosher Salt,1,4,3,2,Kosher,,No
2023-04-17 19:14:12,2023-04-17 19:14:44,IP Address,104.38.19.196,100,32,True,2023-04-17 19:14:45,R_ykY0kzbt2oIWDJf,,,,,40.7957,-77.8618,anonymous,EN,Market Pollock,Yes,5,Yes,,Not right now,,4,1,2,3,,,Yes
2023-04-17 19:15:15,2023-04-17 19:15:41,IP Address,104.38.72.8,100,25,True,2023-04-17 19:15:42,R_3G1ijDIjPnVcqmt,,,,,40.7957,-77.8618,anonymous,EN,Market Pollock,Yes,5,Yes,,Not right now,,1,3,2,4,"Vegetarian,High Protein",,Yes
2023-04-17 19:15:15,2023-04-17 19:16:02,IP Address,104.38.70.222,100,46,True,2023-04-17 19:16:02,R_1mw2XqpjATnavjv,,,,,40.7957,-77.8618,anonymous,EN,Market Pollock,No,5,No,Allergy Meds,,,,,,,,,I didn't know you had sales
2023-04-17 19:15:10,2023-04-17 19:16:03,IP Address,104.38.23.33,100,52,True,2023-04-17 19:16:04,R_3npDX7GdNZW9P6A,,,,,40.7957,-77.8618,anonymous,EN,Market Pollock,Yes,5,Yes,,Not right now,,2,1,3,4,Vegetarian,,Yes
