StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q8,Q10,Q13,Q11,Q11_1,Q2,Q3,Q4,Q4_2_TEXT,Q1_2,Q1_3,Q1_4,Q1_7,Q7
2023-11-07 18:00:35,2023-11-07 18:05:35,IP Address,104.28.76.139,100,299,True,2023-11-07 18:05:35,R_VUQDt5aJJ9Av2LL,,,,,40.4339,-79.9996,qr,EN,Market West,Yes,No,,5,Yes,,Yes,Need more Ben and Jerry’s cookies and cream cheesecake,1,3,2,4,I didn't know you had sales
2023-11-07 21:50:29,2023-11-07 21:52:25,IP Address,104.38.71.116,100,115,True,2023-11-07 21:52:25,R_1FFgSFDkFxLbIyU,,,,,40.7957,-77.8618,qr,EN,Market East,No,No,,5,No,"Toothpicks and hand sanitizer ",,,,,,,I didn't know you had sales
2023-11-07 22:42:24,2023-11-07 22:43:59,IP Address,104.38.56.130,100,95,True,2023-11-07 22:44:00,R_2rIULiHfqXH4Yfq,,,,,40.7957,-77.8618,qr,EN,Market East,No,No,,4,Yes,,Yes,"grilled cheese and butter noodles ",2,1,4,3,No
2023-11-08 11:25:58,2023-11-08 11:26:48,IP Address,104.28.76.122,100,49,True,2023-11-08 11:26:49,R_cTR2CAiF0VpIffj,,,,,39.9528,-75.1646,qr,EN,Market North,Yes,Yes,No,4,Yes,,Yes,Takis,1,3,2,4,No
2023-11-08 11:52:09,2023-11-08 11:53:02,IP Address,130.203.65.40,100,53,True,2023-11-08 11:53:03,R_1Pd8GAGxGHG3BGC,,,,,40.8103,-77.888,qr,EN,Market East,Yes,Yes,No,5,Yes,,Yes,BODY ARMOUR,4,2,1,3,Yes
2023-11-08 19:28:10,2023-11-08 19:30:02,IP Address,104.38.35.108,100,112,True,2023-11-08 19:30:03,R_1FxZtBESKZ8DMIj,,,,,40.7957,-77.8618,qr,EN,Market West,No,No,,4,Yes,,Yes,"More options for healthy eating ",4,1,3,2,I didn't know you had sales
2023-11-08 19:31:09,2023-11-08 19:34:58,IP Address,104.38.95.115,100,228,True,2023-11-08 19:34:58,R_22LxCO2E4N1Jv4X,,,,,40.6217,-79.9431,qr,EN,Market West,No,No,,5,No,"Soy milk, the chamomile iced teas that we had a few years ago, the square Ramen packets we used to have (that don't have the powder already mixed in like the cups), the tuna cups with olive oil, sushi options that don't have mayo on them, fresh produce, frozen vegetables ",,,3,4,2,1,I didn't know you had sales
2023-11-08 20:29:43,2023-11-08 20:31:50,IP Address,107.77.202.187,100,126,True,2023-11-08 20:31:50,R_3HS0Mda4Mp9g5FZ,,,,,38.894,-77.0365,qr,EN,Market West,Yes,No,,5,Yes,,Yes,"The energy packs with cheese, penuts, bananas chips and something else",4,1,2,3,No
2023-11-08 23:35:36,2023-11-08 23:38:41,IP Address,104.38.115.240,100,184,True,2023-11-08 23:38:41,R_3Mmse5gC1K9zbZj,,,,,40.1134,-75.1898,qr,EN,Market East,Yes,Yes,Yes,4,Yes,,Yes,Middlesworth chips,2,3,1,4,I didn't know you had sales
2023-11-09 00:48:35,2023-11-09 00:49:22,IP Address,104.38.45.220,100,46,True,2023-11-09 00:49:23,R_6DnvQNZjS4CI6op,,,,,40.2577,-75.1054,qr,EN,Market West,Yes,No,,4,Yes,,Not right now,,1,2,3,4,I didn't know you had sales
2023-11-09 08:19:44,2023-11-09 08:20:35,IP Address,174.203.130.169,100,50,True,2023-11-09 08:20:35,R_237whc1xddXUNqw,,,,,40.3348,-79.3307,qr,EN,Market East,Yes,Yes,No,5,Yes,,Not right now,,4,2,1,3,No
2023-11-09 08:22:54,2023-11-09 08:25:00,IP Address,104.38.60.179,100,125,True,2023-11-09 08:25:00,R_1It7fCPjO2fIw50,,,,,40.7957,-77.8618,qr,EN,Market East,Yes,Yes,No,5,Yes,,Yes,"Cucumbers ",4,3,1,2,I didn't know you had sales
2023-11-09 08:35:06,2023-11-09 08:36:05,IP Address,104.38.81.185,100,59,True,2023-11-09 08:36:06,R_28Y4XTeJtDLAP0L,,,,,40.248,-75.4567,qr,EN,Market East,Yes,No,,5,No,Smoothie packet,,,3,4,1,2,I didn't know you had sales
2023-11-09 08:45:27,2023-11-09 08:46:53,IP Address,174.203.128.148,100,86,True,2023-11-09 08:46:54,R_1NlTPefkF7BQq81,,,,,39.9544,-75.1657,qr,EN,Market East,Yes,No,,5,Yes,,Yes,Kind breakfast protein bars,4,2,3,1,Yes
2023-11-09 08:46:42,2023-11-09 08:48:20,IP Address,107.77.204.64,100,98,True,2023-11-09 08:48:21,R_1k2ningLUO5NGyq,,,,,39.2909,-76.6096,qr,EN,Market East,Yes,Yes,Yes,5,Yes,,Not right now,,,,,,Yes
2023-11-09 08:48:22,2023-11-09 08:49:08,IP Address,172.56.217.121,100,46,True,2023-11-09 08:49:08,R_2QzBMGcv1fNZhKG,,,,,39.9528,-75.1646,qr,EN,Market East,Yes,No,,5,Yes,,Not right now,,,,,,No
2023-11-09 08:44:50,2023-11-09 08:50:30,IP Address,104.38.120.78,100,339,True,2023-11-09 08:50:31,R_xFULsZJaB4o4ZLb,,,,,40.7957,-77.8618,qr,EN,Market East,Yes,No,,5,Yes,,Yes,"Vanilla ",2,1,4,3,I didn't know you had sales
2023-11-09 08:57:25,2023-11-09 08:58:29,IP Address,172.56.218.215,100,64,True,2023-11-09 08:58:30,R_1hKbiwuf72VCqUp,,,,,39.9528,-75.1646,qr,EN,Market East,Yes,No,,5,Yes,,Not right now,,4,2,1,3,No
2023-11-09 09:13:09,2023-11-09 09:13:46,IP Address,104.39.85.196,100,37,True,2023-11-09 09:13:47,R_BriJXH8D6UhT9Jv,,,,,40.7957,-77.8618,qr,EN,Market East,Yes,Yes,Yes,5,Yes,,Not right now,,4,1,3,2,I didn't know you had sales
2023-11-09 09:49:46,2023-11-09 09:55:09,IP Address,104.38.72.68,100,322,True,2023-11-09 09:55:09,R_3Re9WXWkQYwgrDf,,,,,40.7957,-77.8618,qr,EN,Market East,Yes,No,,5,Yes,,Not right now,,3,4,2,1,Yes
2023-11-09 10:36:55,2023-11-09 10:37:59,IP Address,107.77.202.115,100,64,True,2023-11-09 10:38:00,R_291bfYhf96nKqHH,,,,,38.894,-77.0365,qr,EN,High Acres Cafe,Yes,No,,5,Yes,,Not right now,,4,2,1,3,I didn't know you had sales
2023-11-09 10:37:56,2023-11-09 10:38:46,IP Address,104.38.35.138,100,50,True,2023-11-09 10:38:46,R_1CkCR5voLMoWcru,,,,,40.7957,-77.8618,qr,EN,Market East,Yes,Yes,Yes,4,Yes,,Not right now,,4,1,2,3,I didn't know you had sales
2023-11-09 10:37:35,2023-11-09 10:38:46,IP Address,104.38.122.36,100,70,True,2023-11-09 10:38:47,R_12o89MxB64TVwVJ,,,,,40.7957,-77.8618,qr,EN,Market East,Yes,No,,5,Yes,,Yes,"Red Bull ",4,1,2,3,No
2023-11-09 10:35:26,2023-11-09 10:39:13,IP Address,104.38.16.29,100,227,True,2023-11-09 10:39:14,R_3khTJ126LmWHf3H,,,,,40.7957,-77.8618,qr,EN,Market East,Yes,Yes,Yes,5,Yes,,Not right now,,4,3,1,2,I didn't know you had sales
2023-11-09 10:37:29,2023-11-09 10:39:15,IP Address,66.71.84.36,100,106,True,2023-11-09 10:39:16,R_QbUgJpEuXV2S6GJ,,,,,40.0574,-75.4017,qr,EN,High Acres Cafe,Yes,Yes,Yes,4,Yes,,Not right now,,4,3,1,2,No
2023-11-09 10:38:59,2023-11-09 10:40:02,IP Address,66.71.24.177,100,62,True,2023-11-09 10:40:02,R_3hy8P4lZR20JCfU,,,,,40.9485,-75.9565,qr,EN,High Acres Cafe,Yes,No,,5,Yes,,Not right now,,2,4,1,3,Yes
2023-11-09 10:39:48,2023-11-09 10:40:34,IP Address,104.38.39.155,100,46,True,2023-11-09 10:40:35,R_3OqrZrcBSALVMOT,,,,,40.7957,-77.8618,qr,EN,Market East,Yes,No,,5,Yes,,Not right now,,4,1,3,2,No
2023-11-09 10:41:49,2023-11-09 10:43:22,IP Address,174.203.136.201,100,92,True,2023-11-09 10:43:22,R_AnvyDfiiIEmPwlz,,,,,40.4339,-79.9996,qr,EN,Market Pollock,Yes,No,,5,No,"Annie’s Mac and cheese, tide pods ",,,,,,,I didn't know you had sales
2023-11-09 10:48:04,2023-11-09 10:49:12,IP Address,104.38.52.165,100,68,True,2023-11-09 10:49:12,R_dd9efGhwVdi5YRz,,,,,40.7957,-77.8618,qr,EN,Market East,Yes,Yes,No,5,Yes,,Not right now,,4,1,3,2,Yes
2023-11-09 10:51:09,2023-11-09 10:52:30,IP Address,104.38.60.122,100,80,True,2023-11-09 10:52:30,R_3qJT5pKuKTXmLMi,,,,,40.7957,-77.8618,qr,EN,Market East,Yes,No,,5,Yes,,Not right now,,1,2,3,4,No
2023-11-09 10:56:20,2023-11-09 10:57:31,IP Address,174.203.128.180,100,70,True,2023-11-09 10:57:31,R_RWf2fyP3KptCKyd,,,,,39.9544,-75.1657,qr,EN,Market East,Yes,No,,5,Yes,,Yes,Arizona iced tea,,,,,No
2023-11-09 11:10:57,2023-11-09 11:12:56,IP Address,192.112.253.14,100,119,True,2023-11-09 11:12:57,R_3RltHKmLH8EvnnC,,,,,40.7957,-77.8618,qr,EN,High Acres Cafe,Yes,No,,5,Yes,,Not right now,,2,1,3,4,No
2023-11-09 11:21:59,2023-11-09 11:23:06,IP Address,174.240.217.203,100,66,True,2023-11-09 11:23:06,R_PN9AuTJHZ2jqcyR,,,,,39.9843,-75.2266,qr,EN,High Acres Cafe,Yes,No,,5,Yes,,Not right now,,2,4,1,3,Yes
2023-11-09 11:22:47,2023-11-09 11:23:59,IP Address,174.198.44.251,100,72,True,2023-11-09 11:23:59,R_31RR7UVYQFTqHu1,,,,,39.2934,-75.6018,qr,EN,High Acres Cafe,Yes,No,,5,Yes,,Not right now,,4,1,3,2,No
2023-11-09 11:22:44,2023-11-09 11:24:31,IP Address,174.247.80.131,100,107,True,2023-11-09 11:24:32,R_ZIbMc681wc82sYp,,,,,39.9528,-75.1646,qr,EN,High Acres Cafe,Yes,No,,5,Yes,,Not right now,,4,1,3,2,No
2023-11-09 11:26:45,2023-11-09 11:27:57,IP Address,174.203.140.100,100,72,True,2023-11-09 11:27:57,R_2f3P7JUmViWDmua,,,,,40.5245,-79.0843,qr,EN,Market East,Yes,No,,4,Yes,,Yes,Red bull,4,1,3,2,Yes
2023-11-09 11:31:14,2023-11-09 11:32:22,IP Address,66.71.61.194,100,67,True,2023-11-09 11:32:22,R_27mzhplNlbs2NPi,,,,,40.2389,-77.1935,qr,EN,High Acres Cafe,Yes,Yes,No,5,Yes,,Not right now,,4,2,1,3,Yes
2023-11-09 11:39:53,2023-11-09 11:41:15,IP Address,192.112.253.24,100,82,True,2023-11-09 11:41:16,R_1CvlA82p3DSQRVi,,,,,40.8103,-77.888,qr,EN,Market East,Yes,No,,5,Yes,,Not right now,,2,4,1,3,Yes
2023-11-09 11:41:56,2023-11-09 11:42:44,IP Address,104.38.66.78,100,47,True,2023-11-09 11:42:44,R_1mVrKzwiunLK6oe,,,,,40.7957,-77.8618,qr,EN,Market East,Yes,No,,5,Yes,,Not right now,,4,3,1,2,No
2023-11-09 11:44:32,2023-11-09 11:47:31,IP Address,104.38.81.53,100,178,True,2023-11-09 11:47:32,R_3DdVWhYK7O9A17u,,,,,40.7957,-77.8618,qr,EN,Market East,Yes,No,,5,No,"Middleswarth chips, specifically kettle cooked bbq",,,1,3,2,4,I didn't know you had sales
2023-11-09 11:44:39,2023-11-09 11:48:09,IP Address,166.196.107.8,100,210,True,2023-11-09 11:48:09,R_1mqkn5UFr3cM3iH,,,,,39.9206,-75.1826,qr,EN,Market East,Yes,Yes,No,5,Yes,,Yes,Middleswarth chips,1,3,2,4,Yes
2023-11-09 11:48:23,2023-11-09 11:49:02,IP Address,174.203.137.43,100,38,True,2023-11-09 11:49:02,R_3oASGZgg9zv9pep,,,,,40.3177,-79.7223,qr,EN,Market East,Yes,Yes,Yes,4,Yes,,Not right now,,,,,,Yes
2023-11-09 11:44:21,2023-11-09 11:49:12,IP Address,172.56.219.21,100,291,True,2023-11-09 11:49:13,R_2VIsokXTgox6OX7,,,,,39.9528,-75.1646,qr,EN,Market East,Yes,No,,5,Yes,,Yes,Middleswarth chips,2,1,3,4,Yes
2023-11-09 11:48:31,2023-11-09 11:49:24,IP Address,104.38.40.113,100,52,True,2023-11-09 11:49:24,R_1LzMTi9Zg43ouzf,,,,,40.1922,-75.4339,qr,EN,Market East,Yes,No,,5,Yes,,Not right now,,4,1,3,2,No
2023-11-09 11:51:07,2023-11-09 11:52:24,IP Address,104.38.19.21,100,76,True,2023-11-09 11:52:24,R_2E0tQBFSVi34blf,,,,,40.7957,-77.8618,qr,EN,Market East,Yes,No,,2,Yes,,Not right now,,3,1,2,4,Yes
2023-11-09 11:51:41,2023-11-09 11:52:36,IP Address,166.196.107.8,100,54,True,2023-11-09 11:52:36,R_3j9ktfw922QqY5r,,,,,39.9206,-75.1826,qr,EN,Market East,Yes,No,,5,Yes,,Not right now,,2,1,4,3,Yes
2023-11-09 11:52:09,2023-11-09 11:53:26,IP Address,104.38.43.54,100,76,True,2023-11-09 11:53:27,R_78MUdumMSxj4mA1,,,,,40.7957,-77.8618,qr,EN,Market West,Yes,No,,5,No,seite chips,,,,,,,Yes
2023-11-09 11:55:35,2023-11-09 11:56:43,IP Address,104.38.34.244,100,67,True,2023-11-09 11:56:43,R_11hVeKvQC1LoITO,,,,,40.7957,-77.8618,qr,EN,Market East,Yes,No,,5,Yes,,Yes,campbell’s chunky chicken dumping soup and parmesan goldfish,,,,,I didn't know you had sales
2023-11-09 11:45:28,2023-11-09 11:57:41,IP Address,66.71.3.241,100,733,True,2023-11-09 11:57:42,R_3g1kT9C0ecDcPGD,,,,,40.2008,-76.3491,qr,EN,High Acres Cafe,Yes,No,,5,Yes,,Not right now,,4,2,1,3,Yes
2023-11-09 11:55:33,2023-11-09 11:57:51,IP Address,154.49.96.10,100,138,True,2023-11-09 11:57:52,R_yOSM4LQzYt6EEwx,,,,,51.5088,-0.093,qr,EN,Market East,Yes,No,,3,Yes,,Yes,"frozen berries, fresh vegetables, fairlife milk, egg whites, turkey bacon ",4,2,3,1,I didn't know you had sales
2023-11-09 11:56:47,2023-11-09 11:58:03,IP Address,174.203.141.20,100,75,True,2023-11-09 11:58:03,R_1otmMi4TU6g5LKH,,,,,40.3052,-79.5418,qr,EN,Market East,Yes,Yes,Yes,5,Yes,,Not right now,,4,1,3,2,I didn't know you had sales
2023-11-09 11:58:04,2023-11-09 11:59:00,IP Address,154.49.96.10,100,55,True,2023-11-09 11:59:00,R_1BWvVIyL6WZRxYX,,,,,51.5088,-0.093,qr,EN,Market East,Yes,No,,2,No,"avacados, frozen berries and sourdough bread ",,,4,2,3,1,I didn't know you had sales
2023-11-09 11:59:10,2023-11-09 11:59:42,IP Address,154.49.96.10,100,31,True,2023-11-09 11:59:42,R_21zHjh3cZI6BZKe,,,,,51.5088,-0.093,qr,EN,Market East,Yes,No,,4,Yes,,Yes,Turkey bacon and  egg whites,4,2,3,1,I didn't know you had sales
2023-11-09 11:58:40,2023-11-09 12:00:55,IP Address,66.71.29.61,100,134,True,2023-11-09 12:00:56,R_1rP1HtbNPfW7lTA,,,,,39.9544,-75.1657,qr,EN,High Acres Cafe,Yes,No,,4,Yes,,Yes,"hot chocolate machine ",3,4,1,2,I didn't know you had sales
2023-11-09 11:51:58,2023-11-09 12:00:57,IP Address,104.39.23.18,100,539,True,2023-11-09 12:00:58,R_2cdUg0tLfdQUo7T,,,,,40.0146,-75.7136,qr,EN,Market East,Yes,No,,5,Yes,,Not right now,,4,2,1,3,No
2023-11-09 12:00:05,2023-11-09 12:00:57,IP Address,104.38.111.167,100,52,True,2023-11-09 12:00:58,R_1LU2XFp72zdtSRH,,,,,40.7957,-77.8618,qr,EN,Market East,Yes,No,,5,Yes,,Not right now,,1,3,2,4,Yes
2023-11-09 12:00:07,2023-11-09 12:01:08,IP Address,174.203.133.199,100,61,True,2023-11-09 12:01:08,R_WkZDx6ITmehouPv,,,,,40.3052,-79.5418,qr,EN,Market East,Yes,No,,5,Yes,,Not right now,,4,1,3,2,I didn't know you had sales
2023-11-09 11:56:12,2023-11-09 12:01:32,IP Address,66.71.3.154,100,319,True,2023-11-09 12:01:33,R_2RQUBEHuEQcisHF,,,,,40.2008,-76.3491,qr,EN,High Acres Cafe,Yes,No,,4,Yes,,Yes,Blueberries,4,3,2,1,I didn't know you had sales
2023-11-09 12:00:17,2023-11-09 12:02:16,IP Address,107.123.17.85,100,119,True,2023-11-09 12:02:17,R_OyahQ3KtS19zHah,,,,,39.9664,-75.1685,qr,EN,Market East,Yes,No,,4,Yes,,Not right now,,4,2,3,1,No
2023-11-09 12:01:44,2023-11-09 12:02:30,IP Address,174.203.131.121,100,45,True,2023-11-09 12:02:30,R_1mq1xEetkXh6DjH,,,,,39.9544,-75.1657,qr,EN,Market East,Yes,No,,5,Yes,,Not right now,,2,1,3,4,No
2023-11-09 12:01:26,2023-11-09 12:02:34,IP Address,104.38.5.20,100,68,True,2023-11-09 12:02:34,R_24MlxW7l2xvgoMO,,,,,40.7957,-77.8618,qr,EN,Market East,Yes,No,,5,Yes,,Yes,More granola bar packs & variety,2,1,3,4,Yes
2023-11-09 12:01:20,2023-11-09 12:03:13,IP Address,104.38.1.84,100,113,True,2023-11-09 12:03:14,R_VLmx5o6aoFKzBdv,,,,,40.2673,-74.9487,qr,EN,Market East,Yes,No,,5,Yes,,Yes,Sprite cranberry,2,1,3,4,Yes
2023-11-09 12:01:37,2023-11-09 12:03:39,IP Address,66.71.1.235,100,122,True,2023-11-09 12:03:40,R_12a8YP2QqcaSikU,,,,,39.2549,-75.6971,qr,EN,High Acres Cafe,Yes,No,,4,Yes,,Yes,More Asian cuisine,4,3,1,2,I didn't know you had sales
2023-11-09 12:03:00,2023-11-09 12:04:05,IP Address,172.56.222.245,100,65,True,2023-11-09 12:04:05,R_1o253iUthUtd2tq,,,,,39.9528,-75.1646,qr,EN,High Acres Cafe,No,No,,4,No,"A healthy option, vegetables",,,,,,,Yes
2023-11-09 12:03:28,2023-11-09 12:04:34,IP Address,174.196.68.116,100,65,True,2023-11-09 12:04:34,R_51rRGSf3oCSYXm1,,,,,40.3052,-79.5418,qr,EN,Market East,Yes,No,,4,Yes,,Not right now,,4,1,3,2,Yes
2023-11-09 12:04:23,2023-11-09 12:05:28,IP Address,192.112.253.29,100,65,True,2023-11-09 12:05:29,R_1Qhp0zi01EnVxEI,,,,,40.8103,-77.888,qr,EN,High Acres Cafe,Yes,No,,5,Yes,,Not right now,,4,1,3,2,I didn't know you had sales
2023-11-09 12:04:23,2023-11-09 12:05:41,IP Address,66.71.29.16,100,77,True,2023-11-09 12:05:42,R_21jlkl13A7pMB3w,,,,,39.9544,-75.1657,qr,EN,High Acres Cafe,Yes,No,,4,Yes,,Yes,"Progresos ",,,,,No
2023-11-09 12:05:10,2023-11-09 12:06:45,IP Address,192.112.253.17,100,94,True,2023-11-09 12:06:45,R_1OpOhwpjHRi1nTZ,,,,,40.8103,-77.888,qr,EN,High Acres Cafe,Yes,Yes,Yes,5,Yes,,Not right now,,4,2,1,3,No
2023-11-09 12:06:24,2023-11-09 12:07:11,IP Address,104.38.2.81,100,46,True,2023-11-09 12:07:11,R_1Fne1uvwzPPfjzE,,,,,40.7957,-77.8618,qr,EN,Market East,Yes,No,,4,Yes,,Not right now,,2,4,1,3,No
2023-11-09 12:06:18,2023-11-09 12:07:31,IP Address,130.203.79.207,100,73,True,2023-11-09 12:07:31,R_2WA3g0Or1oN9Tvf,,,,,40.8103,-77.888,qr,EN,High Acres Cafe,Yes,No,,4,Yes,,Not right now,,4,2,1,3,No
2023-11-09 12:07:57,2023-11-09 12:08:28,IP Address,104.38.105.193,100,31,True,2023-11-09 12:08:29,R_2tEwxVVfe1pBDts,,,,,40.7957,-77.8618,qr,EN,Market East,Yes,Yes,Yes,5,Yes,,Not right now,,,,,,No
2023-11-09 12:07:41,2023-11-09 12:08:51,IP Address,104.39.58.9,100,69,True,2023-11-09 12:08:51,R_RIZvMWqEQBLmIhj,,,,,40.7957,-77.8618,qr,EN,Market East,Yes,No,,5,Yes,,Not right now,,4,1,3,2,Yes
2023-11-09 12:05:58,2023-11-09 12:09:13,IP Address,107.77.204.196,100,194,True,2023-11-09 12:09:14,R_YQQudCR2iqxG9yx,,,,,39.2909,-76.6096,qr,EN,Market East,Yes,No,,3,Yes,,Not right now,,4,3,2,1,Yes
2023-11-09 12:08:10,2023-11-09 12:11:09,IP Address,66.71.56.162,100,179,True,2023-11-09 12:11:09,R_3KZ5cEhPEi75WZq,,,,,40.0402,-76.4855,qr,EN,High Acres Cafe,Yes,No,,4,No,"Cheestake
Margarita pizza
Boneless wings",,,,,,,No
2023-11-09 12:09:54,2023-11-09 12:11:21,IP Address,66.71.4.103,100,87,True,2023-11-09 12:11:22,R_3GlIEjKThHPjAyF,,,,,42.0982,-80.0861,qr,EN,High Acres Cafe,Yes,No,,5,Yes,,Not right now,,2,4,1,3,No
2023-11-09 12:08:30,2023-11-09 12:11:22,IP Address,66.71.74.44,100,171,True,2023-11-09 12:11:22,R_DUFQTAQTtsckShH,,,,,39.9198,-75.399,qr,EN,High Acres Cafe,Yes,No,,4,Yes,,Not right now,,3,2,1,4,No
2023-11-09 12:12:02,2023-11-09 12:13:02,IP Address,107.123.17.115,100,59,True,2023-11-09 12:13:02,R_s6XbQuB5XbfQcO5,,,,,39.9664,-75.1685,qr,EN,High Acres Cafe,Yes,No,,5,Yes,,Yes,Fudge strips,1,4,2,3,No
2023-11-09 12:17:34,2023-11-09 12:19:16,IP Address,107.77.203.145,100,101,True,2023-11-09 12:19:16,R_vBjWxxmf0agVYl3,,,,,38.9172,-77.0709,qr,EN,High Acres Cafe,Yes,No,,5,Yes,,Not right now,,,,,,No
2023-11-09 12:24:03,2023-11-09 12:25:49,IP Address,104.38.94.144,100,105,True,2023-11-09 12:25:49,R_3I3ipHkOj0AbhpA,,,,,40.7957,-77.8618,qr,EN,Market East,Yes,No,,5,Yes,,Not right now,,3,2,1,4,I didn't know you had sales
2023-11-09 12:22:04,2023-11-09 12:26:39,IP Address,66.71.80.250,100,275,True,2023-11-09 12:26:40,R_3qI07UA6QBAeqk1,,,,,40.5248,-80.1643,qr,EN,High Acres Cafe,No,No,,4,Yes,,Not right now,,4,1,3,2,No
2023-11-09 12:50:07,2023-11-09 12:50:47,IP Address,104.38.111.117,100,40,True,2023-11-09 12:50:48,R_2ffJDG28KKZGWlP,,,,,40.7957,-77.8618,qr,EN,Market East,Yes,No,,5,Yes,,Not right now,,3,4,1,2,No
